city_id,city_name,governorate,aqi_grid,date_key,hours_observed,avg_pm2_5,max_pm2_5,avg_pm10,avg_us_aqi,max_us_aqi,avg_temp_c,avg_wind_kmh,hours_above_who
port_said,Port Said,Port Said,port_said,2026-08-28,24,21.92,28.9,34.87,73.6,92.0,29.0,10.0,24
suez,Suez,Suez,suez,2026-08-28,24,17.36,23.4,23.12,75.8,113.0,32.0,11.1,20
alexandria,Alexandria,Alexandria,alexandria,2026-08-29,24,10.87,13.6,29.5,60.7,66.0,28.3,16.1,0
aswan,Aswan,Aswan,aswan,2026-08-29,24,31.09,51.0,151.96,108.9,121.0,36.3,12.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-29,24,15.91,23.6,33.08,70.1,77.0,29.6,9.3,10
giza,Giza,Giza,cairo_giza,2026-08-29,24,15.91,23.6,33.08,70.1,77.0,29.5,9.8,10
luxor,Luxor,Luxor,luxor,2026-08-29,24,49.98,83.6,231.25,143.3,149.0,35.3,9.4,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-29,24,12.38,25.3,24.66,67.2,74.0,28.0,12.5,6
port_said,Port Said,Port Said,port_said,2026-08-29,24,13.5,23.7,27.57,68.0,75.0,28.5,19.6,8
suez,Suez,Suez,suez,2026-08-29,24,24.12,33.6,59.65,85.7,125.0,31.3,12.9,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-30,24,13.04,14.8,30.12,54.5,57.0,27.6,12.6,0
aswan,Aswan,Aswan,aswan,2026-08-30,24,60.3,75.2,276.25,120.0,157.0,34.4,12.8,24
cairo,Cairo,Cairo,cairo_giza,2026-08-30,24,15.6,18.9,25.15,61.9,72.0,28.9,6.8,16
giza,Giza,Giza,cairo_giza,2026-08-30,24,15.6,18.9,25.15,61.9,72.0,28.9,8.0,16
luxor,Luxor,Luxor,luxor,2026-08-30,24,92.35,135.0,416.03,206.5,285.0,32.7,11.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-30,24,9.13,12.5,18.92,48.5,56.0,27.6,8.7,0
port_said,Port Said,Port Said,port_said,2026-08-30,24,10.13,12.7,20.17,55.5,67.0,28.3,11.6,0
suez,Suez,Suez,suez,2026-08-30,24,14.23,18.4,22.74,77.7,99.0,29.9,10.8,9
alexandria,Alexandria,Alexandria,alexandria,2026-08-31,24,14.86,17.4,29.15,58.8,61.0,27.7,10.5,13
aswan,Aswan,Aswan,aswan,2026-08-31,24,48.54,78.2,212.7,159.8,176.0,32.5,11.5,24
cairo,Cairo,Cairo,cairo_giza,2026-08-31,24,21.4,24.9,35.4,68.2,73.0,28.8,5.7,24
giza,Giza,Giza,cairo_giza,2026-08-31,24,21.4,24.9,35.4,68.2,73.0,28.8,6.4,24
luxor,Luxor,Luxor,luxor,2026-08-31,24,55.9,93.1,229.33,199.3,287.0,32.6,9.1,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-31,24,12.9,16.8,23.99,54.7,57.0,27.3,6.4,4
port_said,Port Said,Port Said,port_said,2026-08-31,24,13.0,20.0,23.83,63.2,91.0,27.9,10.1,4
suez,Suez,Suez,suez,2026-08-31,24,16.62,20.7,25.54,71.9,108.0,29.8,10.1,18
alexandria,Alexandria,Alexandria,alexandria,2026-09-01,24,14.32,16.9,25.29,61.5,63.0,27.3,8.3,7
aswan,Aswan,Aswan,aswan,2026-09-01,24,45.17,72.2,216.55,132.0,137.0,33.2,12.4,24
cairo,Cairo,Cairo,cairo_giza,2026-09-01,24,19.23,28.2,29.71,73.4,77.0,29.0,7.2,18
giza,Giza,Giza,cairo_giza,2026-09-01,24,19.23,28.2,29.71,73.4,77.0,29.1,8.3,18
luxor,Luxor,Luxor,luxor,2026-09-01,24,53.39,96.9,236.64,152.7,157.0,32.7,9.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-09-01,24,13.48,21.6,22.87,59.0,60.0,27.3,6.0,10
port_said,Port Said,Port Said,port_said,2026-09-01,24,13.67,20.3,23.85,61.1,72.0,28.3,9.8,12
suez,Suez,Suez,suez,2026-09-01,24,9.65,13.7,17.8,64.2,84.0,30.6,12.5,0
alexandria,Alexandria,Alexandria,alexandria,2026-09-02,24,17.43,27.9,26.83,67.3,96.0,27.3,8.0,13
aswan,Aswan,Aswan,aswan,2026-09-02,24,26.86,35.0,125.79,102.5,131.0,33.5,9.6,24
cairo,Cairo,Cairo,cairo_giza,2026-09-02,24,16.92,25.4,24.08,66.7,69.0,29.3,7.8,15
giza,Giza,Giza,cairo_giza,2026-09-02,24,16.92,25.4,24.08,66.7,69.0,29.3,8.7,15
luxor,Luxor,Luxor,luxor,2026-09-02,24,41.3,64.3,164.04,124.4,145.0,33.1,7.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-09-02,24,13.41,21.0,20.3,58.3,59.0,27.8,6.2,8
port_said,Port Said,Port Said,port_said,2026-09-02,24,9.82,11.0,16.05,53.8,59.0,28.6,10.7,0
suez,Suez,Suez,suez,2026-09-02,24,8.72,11.6,18.3,49.8,67.0,30.3,12.9,0
alexandria,Alexandria,Alexandria,alexandria,2026-09-03,5,15.02,15.7,28.42,65.4,66.0,25.8,7.2,2
aswan,Aswan,Aswan,aswan,2026-09-03,5,23.1,24.4,95.06,82.8,85.0,27.7,9.2,5
cairo,Cairo,Cairo,cairo_giza,2026-09-03,5,21.1,27.1,32.28,65.0,65.0,23.7,4.0,5
giza,Giza,Giza,cairo_giza,2026-09-03,5,21.1,27.1,32.28,65.0,65.0,23.6,5.3,5
luxor,Luxor,Luxor,luxor,2026-09-03,5,52.22,56.2,197.46,113.2,115.0,27.1,2.1,5
mansoura,Mansoura,Dakahlia,mansoura,2026-09-03,5,19.04,21.4,29.4,58.0,58.0,21.9,4.1,5
port_said,Port Said,Port Said,port_said,2026-09-03,5,14.98,19.2,22.22,52.2,53.0,25.8,7.1,2
suez,Suez,Suez,suez,2026-09-03,5,7.84,9.0,10.98,49.2,50.0,25.6,8.0,0
